Date : 2020-05-11 17:47:48
Directory : c:\Users\Administrator\Desktop\demo
Total : 168 files,  197851 codes, 13602 comments, 10941 blanks, all 222394 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\bin\Debug\netcoreapp3.1\c#.runtimeconfig.json                                     | JSON       |          9 |          0 |          0 |          9 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\c#.csproj                                                                         | XML        |          7 |          0 |          3 |         10 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\obj\Debug\netcoreapp3.1\c#.AssemblyInfo.cs                                        | C#         |          9 |          9 |          5 |         23 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\obj\c#.csproj.nuget.dgspec.json                                                   | JSON       |         58 |          0 |          0 |         58 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\obj\c#.csproj.nuget.g.props                                                       | XML        |         15 |          0 |          0 |         15 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\obj\c#.csproj.nuget.g.targets                                                     | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\demo\demo\demo\c#\obj\project.assets.json                                                           | JSON       |         63 |          0 |          0 |         63 |
| c:\Users\Administrator\Desktop\demo\demo\demo\css\index.css                                                                        | CSS        |         70 |          0 |         14 |         84 |
| c:\Users\Administrator\Desktop\demo\demo\demo\css\ruler.min.css                                                                    | CSS        |        115 |          0 |         23 |        138 |
| c:\Users\Administrator\Desktop\demo\demo\demo\index.html                                                                           | HTML       |        452 |          9 |         14 |        475 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\JsBarcode.all.min.js                                                              | JavaScript |      3,849 |          1 |          1 |      3,851 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\html2canvas.js                                                                    | JavaScript |      6,661 |        266 |        108 |      7,035 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\index.js                                                                          | JavaScript |        683 |        138 |         56 |        877 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\jquery-3.2.1.min.js                                                               | JavaScript |      5,363 |          1 |          2 |      5,366 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\jquery-ui.js                                                                      | JavaScript |     16,644 |        871 |      1,191 |     18,706 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\qrcode.min.js                                                                     | JavaScript |      3,621 |          1 |          3 |      3,625 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\ref-line.min.js                                                                   | JavaScript |        223 |          0 |          1 |        224 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\ruler.js                                                                          | JavaScript |        452 |          3 |         48 |        503 |
| c:\Users\Administrator\Desktop\demo\demo\demo\js\z-Dragify.js                                                                      | JavaScript |        116 |          0 |          1 |        117 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\emotion\emotion.css                                                 | CSS        |         74 |          0 |         14 |         88 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\emotion\emotion.js                                                  | JavaScript |        209 |          9 |         55 |        273 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.css                                                 | CSS        |         32 |          0 |          0 |         32 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.html                                                | HTML       |        196 |          0 |         16 |        212 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\formula\formula.js                                                  | JavaScript |        100 |          6 |         19 |        125 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\image\image.css                                                     | CSS        |         30 |          3 |         10 |         43 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\image\image.js                                                      | JavaScript |        338 |         22 |         86 |        446 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\link\link.js                                                        | JavaScript |         67 |          3 |          4 |         74 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\map\map.html                                                        | HTML       |        131 |          2 |         15 |        148 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\map\map.js                                                          | JavaScript |        218 |          4 |         42 |        264 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\video\video.css                                                     | CSS        |         55 |          1 |          3 |         59 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\dialogs\video\video.js                                                      | JavaScript |        220 |         33 |         30 |        283 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\Uploader.java                                                           | Java       |        189 |         45 |         27 |        261 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\getContent.jsp                                                          | HTML       |         11 |          0 |          4 |         15 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\jsp\imageUp.jsp                                                             | HTML       |         21 |          0 |          6 |         27 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\lang\en\en.js                                                               | JavaScript |        145 |          4 |          1 |        150 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\lang\zh-cn\zh-cn.js                                                         | JavaScript |        143 |          4 |          3 |        150 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\themes\default\css\umeditor.css                                             | CSS        |        678 |         28 |         67 |        773 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\themes\default\css\umeditor.min.css                                         | CSS        |          1 |          5 |          2 |          8 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\jquery.min.js                                                   | JavaScript |          3 |          3 |          1 |          7 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\Symbola.svg                                      | XML        |      5,102 |          0 |          0 |      5,102 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneral-webfont.svg       | XML        |      3,318 |          0 |          0 |      3,318 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbol-webfont.svg    | XML        |      1,738 |          0 |          0 |      1,738 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbolita-webfont.svg | XML        |      1,137 |          0 |          0 |      1,137 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralitalic-webfont.svg | XML        |      1,089 |          0 |          0 |      1,089 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.css                                         | CSS        |        348 |          9 |          1 |        358 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.js                                          | JavaScript |      2,827 |        508 |        554 |      3,889 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\third-party\mathquill\mathquill.min.js                                      | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\umeditor.config.js                                                          | JavaScript |        107 |        170 |         48 |        325 |
| c:\Users\Administrator\Desktop\demo\demo\demo\umeditor\umeditor.js                                                                 | JavaScript |      7,720 |      2,229 |      1,058 |     11,007 |
| c:\Users\Administrator\Desktop\demo\demo\index.html                                                                                | HTML       |        841 |          9 |         12 |        862 |
| c:\Users\Administrator\Desktop\demo\demo\js\JsBarcode.all.min.js                                                                   | JavaScript |      3,849 |          1 |          1 |      3,851 |
| c:\Users\Administrator\Desktop\demo\demo\js\html2canvas.js                                                                         | JavaScript |      6,661 |        266 |        108 |      7,035 |
| c:\Users\Administrator\Desktop\demo\demo\js\index.js                                                                               | JavaScript |        842 |        178 |         97 |      1,117 |
| c:\Users\Administrator\Desktop\demo\demo\js\jquery-3.2.1.min.js                                                                    | JavaScript |      5,363 |          1 |          2 |      5,366 |
| c:\Users\Administrator\Desktop\demo\demo\js\jquery-ui.js                                                                           | JavaScript |     16,644 |        871 |      1,191 |     18,706 |
| c:\Users\Administrator\Desktop\demo\demo\js\propeller.min.js                                                                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\demo\demo\js\qrcode.min.js                                                                          | JavaScript |      3,621 |          1 |          3 |      3,625 |
| c:\Users\Administrator\Desktop\demo\demo\js\ref-line.min.js                                                                        | JavaScript |        223 |          0 |          1 |        224 |
| c:\Users\Administrator\Desktop\demo\demo\js\ruler.js                                                                               | JavaScript |        452 |          3 |         48 |        503 |
| c:\Users\Administrator\Desktop\demo\demo\js\z-Dragify.js                                                                           | JavaScript |        116 |          0 |          1 |        117 |
| c:\Users\Administrator\Desktop\demo\demo\test.html                                                                                 | HTML       |        843 |          9 |         12 |        864 |
| c:\Users\Administrator\Desktop\demo\demo\test.js                                                                                   | JavaScript |        582 |        126 |         80 |        788 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\emotion\emotion.css                                                      | CSS        |         74 |          0 |         14 |         88 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\emotion\emotion.js                                                       | JavaScript |        209 |          9 |         55 |        273 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.css                                                      | CSS        |         32 |          0 |          0 |         32 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.html                                                     | HTML       |        196 |          0 |         16 |        212 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\formula\formula.js                                                       | JavaScript |        100 |          6 |         19 |        125 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\image\image.css                                                          | CSS        |         30 |          3 |         10 |         43 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\image\image.js                                                           | JavaScript |        338 |         22 |         86 |        446 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\link\link.js                                                             | JavaScript |         67 |          3 |          4 |         74 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\map\map.html                                                             | HTML       |        131 |          2 |         15 |        148 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\map\map.js                                                               | JavaScript |        218 |          4 |         42 |        264 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\video\video.css                                                          | CSS        |         55 |          1 |          3 |         59 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\dialogs\video\video.js                                                           | JavaScript |        220 |         33 |         30 |        283 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\Uploader.java                                                                | Java       |        189 |         45 |         27 |        261 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\getContent.jsp                                                               | HTML       |         11 |          0 |          4 |         15 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\imageUp.jsp                                                                  | HTML       |         21 |          0 |          6 |         27 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\lang\en\en.js                                                                    | JavaScript |        145 |          4 |          1 |        150 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\lang\zh-cn\zh-cn.js                                                              | JavaScript |        143 |          4 |          3 |        150 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\themes\default\css\umeditor.css                                                  | CSS        |        678 |         28 |         67 |        773 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\themes\default\css\umeditor.min.css                                              | CSS        |          1 |          5 |          2 |          8 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\jquery.min.js                                                        | JavaScript |          3 |          3 |          1 |          7 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\Symbola.svg                                           | XML        |      5,102 |          0 |          0 |      5,102 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneral-webfont.svg            | XML        |      3,318 |          0 |          0 |      3,318 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbol-webfont.svg         | XML        |      1,738 |          0 |          0 |      1,738 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbolita-webfont.svg      | XML        |      1,137 |          0 |          0 |      1,137 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralitalic-webfont.svg      | XML        |      1,089 |          0 |          0 |      1,089 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.css                                              | CSS        |        348 |          9 |          1 |        358 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.js                                               | JavaScript |      2,827 |        508 |        554 |      3,889 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.min.js                                           | JavaScript |          2 |          0 |          0 |          2 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\umeditor.config.js                                                               | JavaScript |        107 |        170 |         48 |        325 |
| c:\Users\Administrator\Desktop\demo\demo\umeditor\umeditor.js                                                                      | JavaScript |      7,720 |      2,229 |      1,058 |     11,007 |
| c:\Users\Administrator\Desktop\demo\index.html                                                                                     | HTML       |        485 |          9 |         14 |        508 |
| c:\Users\Administrator\Desktop\demo\index.json                                                                                     | JSON       |        154 |          0 |          0 |        154 |
| c:\Users\Administrator\Desktop\demo\js\JsBarcode.all.min.js                                                                        | JavaScript |      3,849 |          1 |          1 |      3,851 |
| c:\Users\Administrator\Desktop\demo\js\demo.js                                                                                     | JavaScript |          1 |          8 |          0 |          9 |
| c:\Users\Administrator\Desktop\demo\js\html2canvas.js                                                                              | JavaScript |      6,661 |        266 |        108 |      7,035 |
| c:\Users\Administrator\Desktop\demo\js\index.js                                                                                    | JavaScript |        747 |        226 |         84 |      1,057 |
| c:\Users\Administrator\Desktop\demo\js\index.min.js                                                                                | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\demo\js\jquery-3.2.1.min.js                                                                         | JavaScript |      5,363 |          1 |          2 |      5,366 |
| c:\Users\Administrator\Desktop\demo\js\jquery-ui.js                                                                                | JavaScript |     16,644 |        871 |      1,191 |     18,706 |
| c:\Users\Administrator\Desktop\demo\js\moveable.min.js                                                                             | JavaScript |          1 |          9 |          0 |         10 |
| c:\Users\Administrator\Desktop\demo\js\propeller.min.js                                                                            | JavaScript |          1 |          0 |          0 |          1 |
